FID,anzahl_stellplaetze,zusatzbeleuchtung,bike_and_ride,doppelstock,status,geplant,lastenrad,standort,standortnummer,typ_generalisiert,ueberdacht,zeitl_begrenzung,status_bedeutung,shape
opendata_ruhver_fahrradparken_line.54,8,Nein,Ja,Nein,2,,Nein,Englschalkinger Str. 74,59,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((695086.7670009148 5336698.3509977255, 695086.3540009151 5336693.976997727))"
opendata_ruhver_fahrradparken_line.55,16,Nein,Nein,Nein,2,,Nein,Agilolfingerpl. 10,3,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690974.2500008242 5332234.965998016, 690973.9430008243 5332244.181998016))"
opendata_ruhver_fahrradparken_line.56,198,Nein,Ja,Nein,4,,Nein,Aidenbachstr. 31,5,Anlehnbügel,Nein,,abgebaut,"MULTILINESTRING ((687914.7440007608 5330320.2129982, 687915.491000761 5330335.449998202), (687918.3280007609 5330320.072998201, 687919.480000761 5330334.990998201), (687920.3450007611 5330319.982998201, 687921.5590007612 5330334.7359982), (687924.543000761 5330319.8669982, 687925.7150007611 5330334.2829982), (687926.622000762 5330319.6119981995, 687927.7940007611 5330334.0289982), (687929.5890007612 5330319.503998199, 687930.6720007613 5330336.210998199))"
opendata_ruhver_fahrradparken_line.57,18,Nein,Ja,Nein,2,,Nein,Gmunder Str. 32,9,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((688110.4990007649 5330216.01899819, 688115.3100007649 5330216.332998189), (688120.6650007652 5330216.709998189, 688125.1390007652 5330217.051998189))"
opendata_ruhver_fahrradparken_line.58,7,Nein,Ja,Nein,2,,Nein,Knorrstr. 164,46,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691127.0760008255 5341390.239997989, 691129.3180008256 5341393.58699799))"
opendata_ruhver_fahrradparken_line.59,12,Nein,Ja,Nein,2,,Nein,Knorrstr. 164,47,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691135.0030008256 5341391.447997988, 691134.7140008258 5341384.314997988))"
opendata_ruhver_fahrradparken_line.60,5,Nein,Ja,Nein,2,,Nein,Sudetendeutschestr. 60,48,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691131.0030008256 5341365.015997988, 691128.2010008255 5341365.1199979875))"
opendata_ruhver_fahrradparken_line.61,14,Nein,Ja,Nein,2,,Nein,Sudetendeutschestr. 60,49,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691103.998000825 5341380.889997989, 691103.9160008249 5341372.987997991))"
opendata_ruhver_fahrradparken_line.62,40,Nein,Ja,Nein,2,,Nein,Knorrstr. 150,50,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691147.822000826 5341198.656997988, 691167.3280008265 5341198.396997986))"
opendata_ruhver_fahrradparken_line.63,20,Nein,Ja,Nein,2,,Nein,Ungererstr. 187,31,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((693499.366000878 5339480.567997834, 693492.8340008779 5339471.065997835))"
opendata_ruhver_fahrradparken_line.64,10,Nein,Ja,Nein,2,,Nein,Klenzestr. 51,271,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691460.5830008342 5333941.503997982, 691451.2350008341 5333932.488997982))"
opendata_ruhver_fahrradparken_line.65,8,Nein,Ja,Nein,2,,Nein,Fraunhoferstr. 14 a,272,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691444.9610008339 5333965.224997981, 691441.4910008339 5333961.894997984))"
opendata_ruhver_fahrradparken_line.66,38,Nein,Ja,Nein,2,,Nein,Erika-Mann-Str. 69,162,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((688530.3280007725 5335315.315998156, 688528.7380007724 5335291.689998156))"
opendata_ruhver_fahrradparken_line.67,60,Nein,Ja,Nein,2,,Nein,Erika-Mann-Str. 69,163,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((688566.3630007734 5335317.999998155, 688563.9780007731 5335282.561998154))"
opendata_ruhver_fahrradparken_line.68,40,Nein,Ja,Nein,2,,Nein,Erika-Mann-Str. 69,164,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((688524.7000007723 5335240.527998157, 688522.6390007723 5335216.882998158))"
opendata_ruhver_fahrradparken_line.69,10,Nein,Ja,Nein,2,,Nein,Schleißheimer Str. 502,194,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690411.8330008099 5343051.335998029, 690410.9870008099 5343056.766998029))"
opendata_ruhver_fahrradparken_line.70,7,Nein,Ja,Nein,2,,Nein,Einsteinstr. 130,195,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((694486.0470009015 5334795.905897774, 694481.8926009014 5334795.289297775))"
opendata_ruhver_fahrradparken_line.71,7,Nein,Ja,Nein,2,,Nein,Einsteinstr. 130,196,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((694478.5552009012 5334794.782497776, 694474.4027009011 5334794.152097775))"
opendata_ruhver_fahrradparken_line.72,7,Nein,Ja,Nein,2,,Nein,Einsteinstr. 130,197,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((694471.0169009012 5334793.638097776, 694466.864400901 5334793.007697776))"
opendata_ruhver_fahrradparken_line.73,7,Nein,Ja,Nein,2,,Nein,Einsteinstr. 130,198,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((694463.3597009011 5334792.475597776, 694459.207300901 5334791.845197778))"
opendata_ruhver_fahrradparken_line.74,8,Nein,Nein,Nein,2,,Nein,Lenbachpl. 1,200,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690897.4460008219 5335140.433998016, 690899.4220008219 5335145.590998016))"
opendata_ruhver_fahrradparken_line.75,15,Nein,Nein,Nein,2,,Nein,Platz der Menschenrechte 1,201,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((700278.4380010418 5334422.306997315, 700276.2670010418 5334422.221997315), (700273.7010010418 5334422.121997315, 700267.7760010415 5334421.956997316))"
opendata_ruhver_fahrradparken_line.76,16,Nein,Nein,Nein,2,,Nein,Neuhauser Str. 2,202,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691245.7780008297 5334908.665997994, 691249.7890008294 5334919.715997993))"
opendata_ruhver_fahrradparken_line.77,12,Nein,Nein,Nein,2,,Nein,Neuhauser Str. 6,204,Vorderradhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691250.0030008296 5334920.243997992, 691252.1250008297 5334925.474997993))"
opendata_ruhver_fahrradparken_line.78,12,Nein,Nein,Nein,2,,Nein,Neuhauser Str. 6,203,Vorderradhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691253.1160008297 5334927.755997993, 691255.2180008298 5334933.483997993))"
opendata_ruhver_fahrradparken_line.79,28,Nein,Nein,Nein,2,,Nein,Farinellistr. 7,205,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690720.2650008176 5337468.290998023, 690719.4370008177 5337459.863998021))"
opendata_ruhver_fahrradparken_line.80,8,Nein,Nein,Nein,4,,Nein,Neuhauser Str. 1,206,Rahmenhalter,Nein,,abgebaut,"MULTILINESTRING ((691290.5300008305 5334823.091997991, 691292.5640008305 5334822.501997991), (691289.4460008314 5334819.364997991, 691291.4840008304 5334818.662997989))"
opendata_ruhver_fahrradparken_line.81,22,Nein,Nein,Nein,2,,Nein,Pfisterstr. 5,208,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691878.5520008432 5334910.689997953, 691886.0590008432 5334920.866997953))"
opendata_ruhver_fahrradparken_line.82,16,Nein,Ja,Nein,2,,Nein,Josef-Frankl-Str. 3 a,213,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((688616.2510007727 5343191.11299814, 688611.6390007737 5343191.679998138))"
opendata_ruhver_fahrradparken_line.83,16,Nein,Ja,Nein,2,,Nein,Josef-Frankl-Str. 3 a,214,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((688620.7530007728 5343190.528998138, 688616.2920007728 5343191.096998138))"
opendata_ruhver_fahrradparken_line.84,16,Nein,Ja,Nein,2,,Nein,Ungererstr. 173,35,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((693446.781000878 5339336.134997838, 693450.528000877 5339333.719997837), (693444.4380008768 5339332.8469978385, 693448.363000877 5339330.510997839))"
opendata_ruhver_fahrradparken_line.85,5,Nein,Nein,Nein,2,,Nein,Amalienstr. 38,39,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691701.400000839 5336011.611997962, 691700.468000839 5336009.114997962))"
opendata_ruhver_fahrradparken_line.86,5,Nein,Nein,Nein,2,,Nein,Amalienstr. 36,40,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691696.9400008391 5335999.820997963, 691696.057000839 5335997.553997962))"
opendata_ruhver_fahrradparken_line.87,5,Nein,Nein,Nein,2,,Nein,Amalienstr. 36,41,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691694.5620008389 5335993.3479979625, 691693.708000839 5335991.053997963))"
opendata_ruhver_fahrradparken_line.88,5,Nein,Nein,Nein,2,,Nein,Amalienstr. 34,42,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691692.756000839 5335988.327997963, 691691.7970008389 5335985.772997963))"
opendata_ruhver_fahrradparken_line.89,64,Ja,Ja,Ja,2,,Nein,Menzinger Str. 56,44,Doppelstockabstellanlage,Ja,,in Bestand / in Betrieb,"MULTILINESTRING ((685384.79100071 5337730.924998324, 685384.36500071 5337721.997998323))"
opendata_ruhver_fahrradparken_line.90,9,Nein,Ja,Nein,2,,Nein,Knorrstr. 164,45,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691126.5080008255 5341397.394997987, 691131.5090008256 5341397.076997989))"
opendata_ruhver_fahrradparken_line.91,13,Nein,Nein,Nein,2,,Nein,Arcisstr. 31,67,Vorderradhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691130.8100008268 5336264.314997998, 691140.4530008269 5336260.683997998))"
opendata_ruhver_fahrradparken_line.92,9,Nein,Nein,Nein,2,,Nein,Georgenstr. 51,68,Vorderradhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691360.7170008316 5336800.824997982, 691361.9560008316 5336804.084997983))"
opendata_ruhver_fahrradparken_line.93,3,Nein,Nein,Nein,2,,Nein,Elisabethpl. 4 c,69,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691379.8880008319 5336939.691997981, 691379.8120008319 5336938.214997981))"
opendata_ruhver_fahrradparken_line.94,5,Nein,Nein,Nein,2,,Nein,Arcisstr. 65,70,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691379.7610008321 5336936.068997982, 691379.5740008319 5336933.98399798))"
opendata_ruhver_fahrradparken_line.95,4,Nein,Nein,Nein,2,,Nein,Arcisstr. 65,71,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691379.479000832 5336931.23299798, 691379.3560008319 5336929.217997982))"
opendata_ruhver_fahrradparken_line.96,13,Nein,Nein,Nein,2,,Nein,Arcisstr. 74,72,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691378.7250008319 5336905.1109979795, 691378.5220008319 5336900.008997981))"
opendata_ruhver_fahrradparken_line.97,11,Nein,Nein,Nein,2,,Nein,Arcisstr. 63,73,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691377.5150008319 5336891.135997981, 691376.9800008319 5336880.858997982))"
opendata_ruhver_fahrradparken_line.98,5,Nein,Nein,Nein,2,,Nein,Augustenstr. 93,77,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690743.1430008184 5336380.5999980215, 690745.7230008184 5336379.681998023))"
opendata_ruhver_fahrradparken_line.99,7,Nein,Nein,Nein,2,,Nein,Augustenstr. 94,78,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690750.5320008185 5336361.364998022, 690751.9840008187 5336365.007998023))"
opendata_ruhver_fahrradparken_line.100,6,Nein,Nein,Nein,3,,Nein,Avenariusstr. 3,89,Rahmenhalter,Nein,,außer Betrieb,"MULTILINESTRING ((682490.7880006566 5334972.298998469, 682490.2160006566 5334969.034998469))"
